region,state,lgbtq_actual,lgbtq_total,perc_confirmed
alabama,AL,1,26,0.038461538461538464
arkansas,AR,1,34,0.029411764705882353
arizona,AZ,19,127,0.14960629921259844
california,CA,88,582,0.15120274914089346
colorado,CO,16,101,0.15841584158415842
connecticut,CT,4,59,0.06779661016949153
delaware,DE,1,12,0.08333333333333333
florida,FL,26,213,0.12206572769953052
georgia,GA,9,89,0.10112359550561797
iowa,IA,3,24,0.125
idaho,ID,2,25,0.08
illinois,IL,16,141,0.11347517730496454
indiana,IN,3,61,0.04918032786885246
kansas,KS,4,28,0.14285714285714285
kentucky,KY,7,91,0.07692307692307693
massachusetts,MA,16,120,0.13333333333333333
maryland,MD,14,128,0.109375
maine,ME,9,34,0.2647058823529412
michigan,MI,18,107,0.16822429906542055
minnesota,MN,11,81,0.13580246913580246
missouri,MO,2,35,0.05714285714285714
mississippi,MS,3,22,0.13636363636363635
montana,MT,1,22,0.045454545454545456
north carolina,NC,12,185,0.06486486486486487
north dakota,ND,1,4,0.25
nebraska,NE,7,19,0.3684210526315789
new jersey,NJ,13,131,0.09923664122137404
new mexico,NM,8,58,0.13793103448275862
nevada,NV,7,44,0.1590909090909091
new york,NY,32,230,0.1391304347826087
ohio,OH,14,114,0.12280701754385964
oklahoma,OK,7,55,0.12727272727272726
oregon,OR,4,51,0.0784313725490196
pennsylvania,PA,30,133,0.22556390977443608
rhode island,RI,2,14,0.14285714285714285
south carolina,SC,1,14,0.07142857142857142
south dakota,SD,1,9,0.1111111111111111
tennessee,TN,3,60,0.05
texas,TX,12,125,0.096
utah,UT,15,117,0.1282051282051282
virginia,VA,4,49,0.08163265306122448
vermont,VT,2,6,0.3333333333333333
washington,WA,8,69,0.11594202898550725
wisconsin,WI,2,42,0.047619047619047616
wyoming,WY,1,17,0.058823529411764705
alaska,AK,0,12,0
hawaii,HI,0,28,0
louisiana,LA,0,42,0
new hampshire,NH,0,33,0
west virginia,WV,0,27,0
