region,lgbtq_hate
alabama,13.9514251086053
alaska,4
arizona,32
arkansas,1
california,242
colorado,47
connecticut,12
delaware,7
florida,27
georgia,9
hawaii,9
idaho,4
illinois,17
indiana,14
iowa,4
kansas,8
kentucky,21
louisiana,7
maine,7
maryland,7
massachusetts,94
michigan,59
minnesota,20
mississippi,1
missouri,16
montana,3
nebraska,3
nevada,4
new hampshire,3
new jersey,70
new mexico,8
new york,73
north carolina,30
north dakota,3
ohio,67
oklahoma,8
oregon,29
pennsylvania,4
rhode island,8
south carolina,10
south dakota,4
tennessee,12
texas,78
utah,3
vermont,9
virginia,28
washington,124
west virginia,4
wisconsin,7
wyoming,1
