region,state,overall_policy_total,year
alabama,AL,0,2015
alaska,AK,11.39240506329114,2015
arizona,AZ,12.025316455696203,2015
arkansas,AR,8.860759493670885,2015
california,CA,76.58227848101265,2015
colorado,CO,60.12658227848101,2015
connecticut,CT,62.0253164556962,2015
delaware,DE,40.50632911392405,2015
district of columbia,NA,72.15189873417721,2015
florida,FL,17.088607594936708,2015
georgia,GA,3.79746835443038,2015
hawaii,HI,41.77215189873418,2015
idaho,ID,12.025316455696203,2015
illinois,IL,56.32911392405063,2015
indiana,IN,15.18987341772152,2015
iowa,IA,35.44303797468354,2015
kansas,KS,13.924050632911392,2015
kentucky,KY,11.39240506329114,2015
louisiana,LA,2.5316455696202533,2015
maine,ME,55.69620253164557,2015
maryland,MD,48.10126582278481,2015
massachusetts,MA,61.39240506329114,2015
michigan,MI,3.79746835443038,2015
minnesota,MN,48.10126582278481,2015
mississippi,MS,2.5316455696202533,2015
missouri,MO,6.329113924050633,2015
montana,MT,7.59493670886076,2015
nebraska,NE,8.227848101265822,2015
nevada,NV,47.46835443037975,2015
new hampshire,NH,27.848101265822784,2015
new jersey,NJ,64.55696202531645,2015
new mexico,NM,41.77215189873418,2015
new york,NY,51.26582278481012,2015
north carolina,NC,10.126582278481013,2015
north dakota,ND,6.329113924050633,2015
ohio,OH,13.291139240506327,2015
oklahoma,OK,6.329113924050633,2015
oregon,OR,74.68354430379746,2015
pennsylvania,PA,17.72151898734177,2015
rhode island,RI,58.22784810126582,2015
south carolina,SC,3.79746835443038,2015
south dakota,SD,8.860759493670885,2015
tennessee,TN,1.2658227848101267,2015
texas,TX,10.126582278481013,2015
utah,UT,22.78481012658228,2015
vermont,VT,66.45569620253164,2015
virginia,VA,6.329113924050633,2015
washington,WA,64.55696202531645,2015
west virginia,WV,13.924050632911392,2015
wisconsin,WI,29.746835443037973,2015
wyoming,WY,8.860759493670885,2015
